symbol,year_label,document_url
COALINDIA,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780318.pdf
COALINDIA,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780317.pdf
COALINDIA,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780316.pdf
COALINDIA,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780315.pdf
COALINDIA,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780314.pdf
COALINDIA,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780313.pdf
COALINDIA,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780312.pdf
COALINDIA,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/533278/5332780311.pdf
COALINDIA,Mar 2009,https://www.bseindia.com/HIS_ANN_RPT/HISTANNR/2009/COAL_INDIA_LTD-533278-MARCH-2009.PDF
DABUR,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/b6f3ff71-f4ec-428e-a42f-7cb240b20049.pdf
DABUR,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//a8dfb6ee-147c-45ab-8d51-4a7fc4ebfacb.pdf
DABUR,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/500096/73713500096.pdf
DABUR,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/500096/69003500096_28_07_21.pdf
DABUR,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960320.pdf
DABUR,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960319.pdf
DABUR,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960318.pdf
DABUR,Mar 2017,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960317.pdf
DABUR,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960316.pdf
DABUR,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960315.pdf
DABUR,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960314.pdf
DABUR,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960313.pdf
DABUR,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960312.pdf
DABUR,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/500096/5000960311.pdf
DLF,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7b4e6db4-6c28-43e5-a871-b7dfe76ebeb4.pdf
DLF,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//80889d6c-c7d4-49c4-aa3c-17fe5cee5f38.pdf
DLF,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/532868/73790532868.pdf
DLF,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/532868/69373532868.pdf
DLF,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/532868/65287532868.pdf
DLF,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680319.pdf
DLF,Mar 2016,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680316.pdf
DLF,Mar 2015,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680315.pdf
DLF,Mar 2014,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680314.pdf
DLF,Mar 2013,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680313.pdf
DLF,Mar 2012,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680312.pdf
DLF,Mar 2011,https://www.bseindia.com/bseplus/AnnualReport/532868/5328680311.pdf
DMART,Mar 2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/14f569a2-0850-4e73-aa38-69494b1142cb.pdf
DMART,Mar 2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis//73ffab69-cd41-4f5d-a4d4-0c1894813d31.pdf
DMART,Mar 2022,https://www.bseindia.com/bseplus/AnnualReport/540376/73891540376.pdf
DMART,Mar 2021,https://www.bseindia.com/bseplus/AnnualReport/540376/69056540376.pdf
DMART,Mar 2020,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760320.pdf
DMART,Mar 2019,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760319.pdf
DMART,Mar 2018,https://www.bseindia.com/bseplus/AnnualReport/540376/5403760318.pdf
